tanggal,username,Text
2022-01-12 14:28:37,wy__zx,"@collegemenfess 1tb fix hybrid ada yg 100% luring buat studio, praktikum, trs apalagi tu lupa. klo kelas dicampur kdg daring kdg luring"
2022-01-12 13:17:32,pengabdi_santan,"Krs baru di sahin buat semester 4 ini, yuyurly ngeliat matkul dan dosennya agak ngeri ye, mana selalu dpt kelas pagi mulu lagi😭 dann... Bakal luring kekk antara excited, deg2an campur aduk dah 😤"
2022-01-12 09:19:21,sanmia2021,Saya menjual Az - Zahra MA Daring ... seharga Rp83.000. Dapatkan di Shopee sekarang! https://t.co/Jw5FI5HOhk #ShopeeID https://t.co/eEXv252MqO
2022-01-11 16:47:41,Hiicadeee,"Kebanyakan tidur siang jadi ga ngantuk. Pdhl ada kelas luring pagi, kesel."
2022-01-11 16:31:58,chowux,"@schfess sekolahku kelas 12 100%, kelas 11 gantian sama kelas 10 tapi ttp 100%. jadi kalo kelas 11 daring, kelas 10 luring. vice versa."
2022-01-11 15:54:23,tdcwonwoo,bener2 itu doang kelas yg luring
2022-01-11 14:19:38,Nannraa,"Ternyata setelah ngajar daring setahun, trus ngajar luring siswa full rasanya engap banget apalagi kelas yang usreq mulu kerjaannya, tapi nggak pa² tetap disyukuri sudah luring kembali 🙂"
2022-01-11 12:33:00,NgertiHukumID,"PKPA ini akan diselenggarakan pada:
5-26 Maret 2022
📋 Hanya setiap Sabtu dan Minggu (7 hari pertemuan)
⏰ 09.00 - 18.30 WIB
📌 Kelas daring via zoom
📌 Kelas luring di ICJR Learning Hub Office"
2022-01-11 12:32:42,NgertiHukumID,"Kabar baik untuk kamu-kamu yang sudah ingin ikut kelas tatap muka, khususnya untuk Pendidikan Khusus Profesi Advokat!
Dibuka pendaftaran PKPA Hybrid, dan kamu bisa memilih untuk hadir secara daring atau luring. https://t.co/P6A6Whb6UQ"
2022-01-11 04:01:30,himaforka_uajy,RT @kuliah_ftiuajy: #INFO_PRODI_INF_2021_2 : Rencana Pembukaan Kelas Luring dan Daring Prodi Informatika pada Semester Genap TA 2021/2022.…
2022-01-11 03:26:15,kuliah_ftiuajy,#INFO_PRODI_INF_2021_2 : Rencana Pembukaan Kelas Luring dan Daring Prodi Informatika pada Semester Genap TA 2021/2022. Mohon Diperhatikan https://t.co/D76WBUdGQD
2022-01-11 03:05:00,awieww,alah siah dude kumaha ieu kelas luring urg:( https://t.co/O2f9O0e1np
2022-01-10 13:36:20,AndikaJya244,"... daring, akhire ngga tek iso nemu knco akrab. ---Sampek seiki kelas 11 smster 2, wis luring 100% ae aku panggah ngrso nda duwe knco plek.
Tapi Alhamdulillah, akhir lebaran 2021, aku nemu seseorang..  aku seneng karo orang kuwi, aku nyaman. Aku ngrso duwe batur, duwe knco ..."
2022-01-10 02:31:32,Kanimdepok,"Senin (10/01)
Kantor Imigrasi Kelas II Non TPI Depok melaksanakan kegiatan apel pagi pegawai.
Kegiatan apel pagi diikuti oleh seluruh Pejabat Struktural, Pegawai, dan PPNPN baik secara luring maupun daring.

#KantorImigrasiDepok #KID #TulusMelayaniTerusBerinovasi https://t.co/E4MSaDpUL5"
2022-01-09 16:44:41,ginaseptiani958,"@collegemenfess Ada, dapet dosen yg matkul nya luring. Srng bgt ga masuk, pernah udah dijalan mau ke kampus tiba² baru ngasih tau kalo kelas nya diganti. Tp jarang bgt diganti sampe ngutang 3 pertemuan tp untungnya kalo soal nilai baik bgt, mana kemarin uasnya open book padahal itu soal gampang²"
